time,date,hour,precip [mm/day],sub11005351 [m3/s],sub11005351 (observed) [m3/s],sub11004926 [m3/s],sub11004926 (observed) [m3/s],sub11004677 [m3/s],sub11004677 (observed) [m3/s],sub11004597 [m3/s],sub11004597 (observed) [m3/s],sub11004314 [m3/s],sub11004314 (observed) [m3/s],sub11004510 [m3/s],sub11004510 (observed) [m3/s],sub11004353 [m3/s],sub11004353 (observed) [m3/s],sub11004563 [m3/s],sub11004563 (observed) [m3/s],sub11004345 [m3/s],sub11004345 (observed) [m3/s],sub11004395 [m3/s],sub11004395 (observed) [m3/s]
0,1981-01-01,00:00:00.00,---,0.100804,,0.113378,,0.208638,,0.387469,,0.942731,,1.1062,,1.12107,,1.59843,,3.72027,,8.70829,
1,1981-01-02,00:00:00.00,0.602256,0.0504021,0.127,0.056689,0.089,0.104319,,0.193735,17.8,0.563274,21.9,0.68038,,0.69905,24.1,0.958874,1.15,1.9658,,6.67485,51.1
2,1981-01-03,00:00:00.00,0.294296,0,0.125,0,0.085,0.000747254,,0.00165635,14.4,0.0993007,19.4,0.135112,,0.150193,20.3,0.243464,1.12,0.220591,,3.07902,44.5
3,1981-01-04,00:00:00.00,0.198772,0,0.119,0,0.083,0.000747254,,0.00165635,12.5,0.00794992,17.7,0.00783335,,0.012367,18.1,0.146797,1.08,0.224423,,0.976697,39.3
4,1981-01-05,00:00:00.00,0.248089,0,0.116,0,0.086,4.5053e-20,,4.52321e-21,11.5,0.000600452,16.2,2.05927e-06,,0.000768651,15.4,0.109182,1.16,0.211152,,0.335517,35.7
5,1981-01-06,00:00:00.00,0.243812,0,0.116,0,0.089,0,,0,10.6,4.33216e-05,15,1.4822e-321,,8.01452e-05,13.9,0.0795655,1.18,0.195256,,0.217467,33.1
6,1981-01-07,00:00:00.00,0.335671,0,0.116,0,0.091,0,,0,9.84,5.81687e-07,14.1,2.01579e-321,,2.18862e-22,12.5,0.0562091,1.23,0.177544,,0.191469,31.3
7,1981-01-08,00:00:00.00,0.598298,0.000399627,0.113,0,0.093,0.00131886,,0.00712373,8.96,0.00390774,12.8,0.00575005,,0.0109151,11.5,0.0375716,1.22,0.158729,,0.181274,29.3
8,1981-01-09,00:00:00.00,0.285495,0.000399627,0.116,0,0.09,0.00131886,,0.00712373,8.19,0.0051426,12.1,0.00777631,,0.0174256,10.1,0.0233298,1.24,0.140627,,0.174593,27.2
9,1981-01-10,00:00:00.00,0.396535,6.01016e-21,0.116,0,0.097,9.59057e-20,,5.1749e-20,7.88,0.00134265,11.5,0.00206831,,0.0071072,9.64,0.0130171,1.27,0.123336,,0.154869,25.9
10,1981-01-11,00:00:00.00,0.386949,4.29952e-05,0.119,0,0.088,0.00919156,,0,7.29,0.0126071,10.7,0.000894244,,0.00270285,9.1,0.00481357,1.24,0.104504,,0.137535,24.4
11,1981-01-12,00:00:00.00,0.307798,4.29952e-05,0.119,0,0.084,0.0102719,,0.0015326,6.54,0.0181788,9.33,0.00117072,,0.00647476,8.46,0.00039015,1.1,0.0854628,,0.127866,21.6
12,1981-01-13,00:00:00.00,0.236532,9.83101e-22,0.119,0,0.086,0.00108031,,0.00313069,6.33,0.00694591,9.26,0.000323051,,0.00599385,7.86,9.7825e-322,1.08,0.069578,,0.104976,20.5
13,1981-01-14,00:00:00.00,0.105274,0.000289218,0.119,0,0.084,3.96416e-20,,0.00332568,5.78,0.00173753,8.54,0.000135573,,0.00329356,7.5,1.59089e-321,1.04,0.0546525,,0.0766598,19.6
14,1981-01-15,00:00:00.00,0.212107,0.000326553,0.116,0,0.08,0.000678517,,0.00557392,5.4,0.00231744,7.91,0.000383758,,0.00458998,6.65,2.24306e-321,1,0.0405674,,0.0584065,18.3
15,1981-01-16,00:00:00.00,0.256816,3.73358e-05,0.119,0,0.077,0.000678517,,0.00384633,4.73,0.00246648,6.1,0.00029963,,0.00448637,6.26,2.81617e-321,0.93,0.0287247,,0.0452137,16.6
16,1981-01-17,00:00:00.00,0.230437,2.53643e-21,0.136,0,0.076,3.31537e-21,,6.89456e-39,4.25,0.000676319,5.46,5.08504e-05,,0.00175079,5.89,3.34977e-321,0.925,0.0188749,,0.031481,14.2
17,1981-01-18,00:00:00.00,0.252437,0,0.153,0,0.079,1.1366e-37,,0,4,5.67564e-05,6.3,3.92855e-06,,0.000186111,5.66,3.89324e-321,0.93,0.0104677,,0.0190396,13.2
18,1981-01-19,00:00:00.00,0.273245,0,0.161,0,0.086,0,,0,4,5.2818e-07,8.9,2.66889e-22,,3.33604e-40,5.44,4.41695e-321,1.02,0.00341383,,0.00958614,16.8
19,1981-01-20,00:00:00.00,0.905538,0,0.164,0,0.092,9.71757e-05,,0,4.05,6.82557e-05,8.41,1.02519e-320,,0,5.55,5.00488e-321,1.14,0.000134077,,0.00356978,18
20,1981-01-21,00:00:00.00,0.280924,0.00125665,0.17,0,0.099,0.0042899,,0.0090504,4.2,0.00937806,7.49,0.00153515,,0.00539112,5.66,5.71634e-321,1.19,1.21811e-07,,0.0105526,16.8
21,1981-01-22,00:00:00.00,0.425132,0.00161008,0.176,0,0.106,0.0106047,,0.0198582,4.39,0.0233986,7.09,0.00381195,,0.0157417,5.73,6.5019e-321,1.23,0,,0.0294581,16.1
22,1981-01-23,00:00:00.00,0.704778,0.00634201,0.181,0.00109689,0.1,0.0642444,,0.0571711,5.1,0.119092,9.4,0.0138839,,0.0609543,5.82,0.0011159,1.26,0,,0.141642,17.2
23,1981-01-24,00:00:00.00,0.962328,0.0508619,0.187,0.017205,0.096,0.218469,,0.253775,5.99,0.476258,11,0.107995,,0.356959,7.39,0.131203,1.3,0,,0.719824,20.9
24,1981-01-25,00:00:00.00,0.866931,0.0827033,0.184,0.0427755,0.09,0.382554,,0.427775,5.53,1.00466,10.9,0.225096,,0.744424,6.95,0.440273,1.18,0.0199533,,1.80436,21.4
25,1981-01-26,00:00:00.00,0.872861,0.0468178,0.181,0.0318064,0.084,0.57763,,0.43695,5.14,1.38728,10,0.193474,,0.802858,6.62,0.651849,1.07,0.0742211,,2.51942,19.9
26,1981-01-27,00:00:00.00,0.333344,0.00898785,0.176,0.00513902,0.092,0.35954,,0.216586,4.82,0.948123,9.08,0.0772109,,0.480831,6.21,0.625429,1.05,0.133568,,2.07435,18.4
27,1981-01-28,00:00:00.00,1.2006,0.00218086,0.17,6.0426e-20,0.094,0.0054947,,2.70428e-19,4.75,0.212968,8.08,0.0175746,,0.131573,6.4,0.505818,1.15,0.171748,,1.05787,17.1
28,1981-01-29,00:00:00.00,0.349608,0.00218086,0.173,1.66873e-36,0.089,0.00166659,,7.50588e-36,4.98,0.0195518,8.34,0.0077909,,0.0155305,5.92,0.394057,1.1,0.191441,,0.431561,17.1
29,1981-01-30,00:00:00.00,2.21739,0.00421872,0.176,0,0.086,6.5336e-20,,0.00723187,5.12,0.0029526,7.98,0.0429647,,0.00860541,6.21,0.316827,1.24,0.200988,,0.245111,16.9
30,1981-01-31,00:00:00.00,3.07719,0.00421872,0.178,0.0152772,0.1,0.000339418,,0.102915,4.89,0.0850314,7.51,0.0616705,,0.308062,5.63,0.27745,1.18,0.205284,,0.446337,16.3
31,1981-02-01,00:00:00.00,0.404762,6.91049e-20,0.181,0.0152772,0.08,0.000339418,,0.107221,4.69,0.102706,6.83,0.0218105,,0.396378,5.53,0.242523,1.08,0.204158,,0.670819,15.5
32,1981-02-02,00:00:00.00,0.278066,2.87707e-36,0.159,0,0.07,1.86418e-20,,0.0115381,4.06,0.021997,5.6,0.000443903,,0.106744,4.78,0.19387,0.87,0.197448,,0.531583,13.8
33,1981-02-03,00:00:00.00,0.159359,1.06131e-52,0.139,0,0.074,6.77347e-37,,0,3.65,0.00227919,5.93,7.27136e-21,,0.0103812,4.45,0.147019,0.91,0.187259,,0.314744,13.3
34,1981-02-04,00:00:00.00,0.209109,2.93099e-69,0.133,0,0.072,0,,0,3.35,7.38362e-05,4.86,3.02731e-37,,0.000558289,4.19,0.109785,0.875,0.174144,,0.209618,12.3
35,1981-02-05,00:00:00.00,0.196678,8.09139e-86,0.127,0,0.069,0,,0,3.25,4.91672e-21,4.64,1.11673e-53,,0,3.99,0.0806911,0.85,0.159031,,0.173789,11.5
36,1981-02-06,00:00:00.00,0.241453,0,0.127,0,0.073,0,,0,3.15,5.27269e-40,4.4,3.08405e-70,,0,3.94,0.0579371,0.87,0.142874,,0.155448,11.3
37,1981-02-07,00:00:00.00,0.141556,0,0.125,0,0.07,0,,0,3.1,0,3.74,8.51393e-87,,0,3.91,0.0402751,0.88,0.126519,,0.139158,10.5
38,1981-02-08,00:00:00.00,0.183792,0,0.125,0,0.074,0,,0,3.1,0,4,2.09187e-320,,0,3.82,0.0263694,0.9,0.11057,,0.123024,10.3
39,1981-02-09,00:00:00.00,0.188924,0,0.127,0,0.07,0,,0,3.17,0,4.7,2.15116e-320,,0,3.99,0.015306,0.8,0.0952176,,0.107266,9.35
40,1981-02-10,00:00:00.00,0.266418,0,0.119,0,0.057,0,,0,3.3,0,5.08,2.22231e-320,,0,3.51,0.00568471,0.7,0.0782638,,0.0911237,9.7
41,1981-02-11,00:00:00.00,0.296545,0,0.099,0,0.052,0,,0,2.3,0,4.25,2.29889e-320,,0,2.97,0.000460511,0.56,0.0620869,,0.0747556,7.8
42,1981-02-12,00:00:00.00,0.229991,0,0.099,0,0.06,0,,0,2.5,0,2.8,2.35076e-320,,0,3.51,6.12641e-322,0.6,0.0527106,,0.0613643,7.49
43,1981-02-13,00:00:00.00,1.42612,0,0.102,0,0.076,0,,0,3,0,3.5,2.38436e-320,,0,4.39,8.39912e-322,0.7,0.0452431,,0.0516164,9.93
44,1981-02-14,00:00:00.00,1.35395,0,0.127,0,0.09,0,,0,3.4,0,5,2.44068e-320,,0,5.01,1.5316e-321,0.9,0.0329816,,0.0416133,12.5
45,1981-02-15,00:00:00.00,1.64818,0,0.147,0,0.111,0.140293,,0.301693,3.7,0.215136,5.8,0.00706873,,0.173465,5.41,2.64325e-321,1,0.0178141,,0.250516,14
46,1981-02-16,00:00:00.00,0.858874,0,0.161,0.00527661,0.115,0.45913,,0.875517,4,0.867781,6.1,0.00904672,,0.62518,6,3.55727e-321,1.2,0.00505238,,1.01593,15.5
47,1981-02-17,00:00:00.00,1.26511,0.0534002,0.176,0.014801,0.121,0.676462,,0.870812,4.45,1.41302,6.4,0.323682,,1.34601,6.8,0.290373,1.27,0.0301564,,2.37414,16.2
48,1981-02-18,00:00:00.00,4.66173,0.19105,0.184,0.0337552,0.11,2.4107,,4.14378,5.4,5.31219,8,2.242,,5.1832,7.39,1.18971,1.1,0.24987,,8.45774,22.8
49,1981-02-19,00:00:00.00,1.16461,0.228352,0.187,0.0434915,0.119,3.07135,,5.85541,5.69,7.98845,9.5,3.03047,,8.38762,8.46,2.01261,1.08,0.702087,,15.7054,23
50,1981-02-20,00:00:00.00,5.10734,0.226736,0.187,0.140775,0.11,1.80896,,3.77671,6.65,6.43637,12.1,3.08267,,8.14004,9.78,2.65986,1.32,1.32222,,19.3188,24.8
51,1981-02-21,00:00:00.00,4.32093,0.182531,0.178,0.257879,0.097,2.03118,,4.57224,5.79,6.95757,11.9,3.02276,,7.84437,10.7,3.63595,1.15,2.33949,,23.5742,29.3
52,1981-02-22,00:00:00.00,0.323881,0.0519107,0.167,0.136364,0.1,1.26193,,3.30602,4.86,4.96552,9.65,1.19139,,5.55076,9.29,3.56129,1.17,3.29852,,21.7787,22.8
53,1981-02-23,00:00:00.00,0.286201,0.0304286,0.167,1.0052e-18,0.107,0.0527005,,0.679059,4.4,1.17075,8.71,0.20244,,2.30074,7.9,2.4155,1.14,3.55263,,13.0764,19.5
54,1981-02-24,00:00:00.00,0.296356,0.0506599,0.17,0.0207989,0.102,0.114099,,0.329707,4.4,0.386396,8.76,0.571082,,0.920369,6.51,1.6548,1.12,3.43499,,7.28209,18.8
55,1981-02-25,00:00:00.00,0.768618,0.123037,0.167,0.0494934,0.093,0.413681,,0.805408,4.44,0.964684,8.42,0.999104,,1.15997,6.51,1.36051,1.16,3.30996,,6.11198,18.8
56,1981-02-26,00:00:00.00,6.19278,0.180455,0.159,0.127855,0.094,1.58049,,3.05868,4.13,3.85289,7.99,0.787718,,4.2548,6.21,1.40126,1.23,3.21423,,11.0794,18.4
57,1981-02-27,00:00:00.00,5.05204,0.277039,0.159,0.240859,0.093,2.63148,,6.62595,3.89,7.99458,7.53,3.23719,,9.92491,5.92,2.41936,1.24,3.58137,,22.1222,17.5
58,1981-02-28,00:00:00.00,0.585436,0.196954,0.161,0.198981,0.08,1.53947,,4.68436,3.68,6.57573,7.07,3.47332,,9.34112,5.63,2.87701,1.21,4.45647,,25.961,16.7
59,1981-03-01,00:00:00.00,0.252067,0.00297795,0.167,0.0572837,0.07,0.157616,,0.464197,3.53,1.90407,6.76,0.556227,,3.31708,5.49,2.02114,1,4.71912,,17.7078,16.1
60,1981-03-02,00:00:00.00,0.22208,3.89217e-20,0.173,0,0.088,8.99859e-35,,0,3.43,0.224145,6.39,0.0220446,,0.470658,5.35,1.35121,0.845,4.23486,,9.06033,15.5
61,1981-03-03,00:00:00.00,0.24334,2.13754e-36,0.178,0,0.106,0,,0,3.33,0.0139533,6.15,0.000313346,,0.0454921,5.27,0.953417,1.05,3.71192,,5.12236,14.9
62,1981-03-04,00:00:00.00,0.299365,0,0.164,0,0.102,0,,0,3.42,0.00190157,6.32,0.00200328,,0.0260465,5.35,0.735503,1.16,3.2445,,3.79319,14.9
63,1981-03-05,00:00:00.00,1.57055,0.15459,0.156,0.113057,0.094,0.177214,,0.792141,3.37,0.660868,6.25,1.97653,,1.66304,5.44,1.52141,1.2,3.20459,,5.76283,15
64,1981-03-06,00:00:00.00,2.5801,0.239028,0.15,0.177398,0.091,0.659929,,1.84684,3.16,1.96574,5.86,3.01831,,3.44335,5.19,2.73301,1.17,3.87014,,10.4568,14.7
65,1981-03-07,00:00:00.00,0.313913,0.0844384,0.147,0.0643406,0.094,0.482716,,1.0547,2.94,1.6508,5.32,1.2206,,2.37224,4.86,2.59311,1.15,4.45643,,11.398,13.4
